ensemble,case,b,n,s,time_h,eke_25_90N_area_mass_weighted_m2_s-2
standard,BCwave_b1n1s-10,1.0,1,-10,205.0,0.0906961089802679
standard,BCwave_b1n1s-10,1.0,1,-10,206.0,0.0945116981239993
standard,BCwave_b1n1s-10,1.0,1,-10,207.0,0.0984897330862075
standard,BCwave_b1n1s-10,1.0,1,-10,208.0,0.1026353762559743
standard,BCwave_b1n1s-10,1.0,1,-10,209.0,0.1069547776472437
standard,BCwave_b1n1s-10,1.0,1,-10,210.0,0.1114529764577517
standard,BCwave_b1n1s-10,1.0,1,-10,211.0,0.1161367156148921
standard,BCwave_b1n1s-10,1.0,1,-10,212.0,0.1210216073388247
standard,BCwave_b1n1s-10,1.0,1,-10,213.0,0.1261164121689131
standard,BCwave_b1n1s-10,1.0,1,-10,214.0,0.1314180158063783
standard,BCwave_b1n1s-10,1.0,1,-10,215.0,0.1369342941940614
standard,BCwave_b1n1s-10,1.0,1,-10,216.0,0.1426886092149776
standard,BCwave_b1n1s-10,1.0,1,-10,217.0,0.1486951055153828
standard,BCwave_b1n1s-10,1.0,1,-10,218.0,0.1549597757928925
standard,BCwave_b1n1s-10,1.0,1,-10,219.0,0.1614895294191963
standard,BCwave_b1n1s-10,1.0,1,-10,220.0,0.168284596998685
standard,BCwave_b1n1s-10,1.0,1,-10,221.0,0.1753557682709011
standard,BCwave_b1n1s-10,1.0,1,-10,222.0,0.1827193310997382
standard,BCwave_b1n1s-10,1.0,1,-10,223.0,0.190387626886281
standard,BCwave_b1n1s-10,1.0,1,-10,224.0,0.19837770940594
standard,BCwave_b1n1s-10,1.0,1,-10,225.0,0.2066995374343565
standard,BCwave_b1n1s-10,1.0,1,-10,226.0,0.2153559165991929
standard,BCwave_b1n1s-10,1.0,1,-10,227.0,0.2243612003339646
standard,BCwave_b1n1s-10,1.0,1,-10,228.0,0.233733400583431
standard,BCwave_b1n1s-10,1.0,1,-10,229.0,0.2434876025842954
standard,BCwave_b1n1s-10,1.0,1,-10,230.0,0.2536422563608535
standard,BCwave_b1n1s-10,1.0,1,-10,231.0,0.2642171945209273
standard,BCwave_b1n1s-10,1.0,1,-10,232.0,0.275226236526995
standard,BCwave_b1n1s-10,1.0,1,-10,233.0,0.2866777491402782
standard,BCwave_b1n1s-10,1.0,1,-10,234.0,0.2985825720669236
standard,BCwave_b1n1s-10,1.0,1,-10,235.0,0.3109562553817425
standard,BCwave_b1n1s-10,1.0,1,-10,236.0,0.3238149508819315
