ensemble,case,b,n,s,pressure_hpa,initial_zonal_wind_at_jet_core_m_s-1,initial_eady_growth_rate_day-1,initial_jet_core_latitude_deg
standard,BCwave_b15n1s-10,1.5,1,-10,1000.0,0.01841606149056487,0.7032962467380302,34.5
standard,BCwave_b15n1s-5,1.5,1,-5,10.0,0.02790634530247189,0.05444842335665361,39.5
standard,BCwave_b15n1s-5,1.5,1,-5,50.0,1.9442224257522158,0.09634137636859245,39.5
standard,BCwave_b15n1s-5,1.5,1,-5,100.0,7.654391623867882,0.2353557953281214,39.5
standard,BCwave_b15n1s-5,1.5,1,-5,150.0,13.446495318412781,0.3645416435023422,39.5
standard,BCwave_b15n1s-5,1.5,1,-5,200.0,17.863490713967217,0.3551672228477451,39.5
standard,BCwave_b15n1s-5,1.5,1,-5,250.0,20.706783962249755,0.2539037896891514,39.5
standard,BCwave_b15n1s-5,1.5,1,-5,300.0,22.18011145061917,0.1192611213496704,39.5
standard,BCwave_b15n1s-5,1.5,1,-5,400.0,22.126941363016766,0.152526460843104,39.5
standard,BCwave_b15n1s-5,1.5,1,-5,500.0,19.620980670717028,0.3777282578258121,39.5
standard,BCwave_b15n1s-5,1.5,1,-5,600.0,15.934394330448574,0.546939565263684,39.5
standard,BCwave_b15n1s-5,1.5,1,-5,700.0,11.807325673103332,0.6597760970911654,39.5
standard,BCwave_b15n1s-5,1.5,1,-5,850.0,5.634862075911628,0.7624433606086071,39.5
standard,BCwave_b15n1s-5,1.5,1,-5,925.0,2.7370459298292795,0.8009454187978036,39.5
standard,BCwave_b15n1s-5,1.5,1,-5,975.0,0.9031632781028748,0.8081183209686691,39.5
standard,BCwave_b15n1s-5,1.5,1,-5,1000.0,0.019362432479521078,0.8032804967196957,39.5
standard,BCwave_b15n1,1.5,1,0,10.0,0.028592118783207197,0.05996602957589818,44.5
standard,BCwave_b15n1,1.5,1,0,50.0,1.9454624013768302,0.10667526924233989,44.5
standard,BCwave_b15n1,1.5,1,0,100.0,7.655764997005463,0.26117324454969043,44.5
standard,BCwave_b15n1,1.5,1,0,150.0,13.447458420859443,0.39986989695279995,44.5
standard,BCwave_b15n1,1.5,1,0,200.0,17.864028432634143,0.3803651271315863,44.5
standard,BCwave_b15n1,1.5,1,0,250.0,20.707038153542413,0.26690830762077655,44.5
standard,BCwave_b15n1,1.5,1,0,300.0,22.18027252621121,0.12398477775387201,44.5
standard,BCwave_b15n1,1.5,1,0,400.0,22.127364746729533,0.157588774100448,44.5
standard,BCwave_b15n1,1.5,1,0,500.0,19.621942165162828,0.39348010087139945,44.5
standard,BCwave_b15n1,1.5,1,0,600.0,15.935676627688938,0.5795597914952275,44.5
standard,BCwave_b15n1,1.5,1,0,700.0,11.808621480729844,0.7134243115246799,44.5
standard,BCwave_b15n1,1.5,1,0,850.0,5.635882914066315,0.8461233201396053,44.5
standard,BCwave_b15n1,1.5,1,0,925.0,2.7378834426403045,0.8964590294587673,44.5
standard,BCwave_b15n1,1.5,1,0,975.0,0.9039036234219869,0.9067164908142424,44.5
standard,BCwave_b15n1,1.5,1,0,1000.0,0.020151395946916433,0.9016390984619018,44.5
standard,BCwave_b15n1s5,1.5,1,5,10.0,0.02995468748655791,0.0650141016280899,49.5
standard,BCwave_b15n1s5,1.5,1,5,50.0,1.9476197885142432,0.11633718938564745,49.5
standard,BCwave_b15n1s5,1.5,1,5,100.0,7.657999379105038,0.2855244616176681,49.5
standard,BCwave_b15n1s5,1.5,1,5,150.0,13.449091386795043,0.43174667924541527,49.5
standard,BCwave_b15n1s5,1.5,1,5,200.0,17.865028280682033,0.4008953536260035,49.5
standard,BCwave_b15n1s5,1.5,1,5,250.0,20.707620424694486,0.27648445865038107,49.5
standard,BCwave_b15n1s5,1.5,1,5,300.0,22.180669434865315,0.12717403367904265,49.5
standard,BCwave_b15n1s5,1.5,1,5,400.0,22.127959744135538,0.16075415883778316,49.5
