figure,ensemble,b,metric,pressure_hpa,mean,bootstrap_ci_low,bootstrap_ci_high,n_ns_groups,group_mean_peak_abs_pressure_hpa,group_mean_peak_value
initial_vertical_structure_standard_vs_u30,standard,1.0,initial_meridional_temperature_gradient,250.0,-3.944749596485053,-4.347229137996085,-3.565390657058743,15,,
initial_vertical_structure_standard_vs_u30,standard,1.0,initial_meridional_temperature_gradient,300.0,-4.251186328474432,-4.687024254129331,-3.8403903852213266,15,,
initial_vertical_structure_standard_vs_u30,standard,1.0,initial_meridional_temperature_gradient,400.0,-2.8384391422756985,-3.1268652010870333,-2.5662722805464004,15,,
initial_vertical_structure_standard_vs_u30,standard,1.0,initial_meridional_temperature_gradient,500.0,0.16977916269903895,0.14124684920346908,0.20085453246091825,15,,
initial_vertical_structure_standard_vs_u30,standard,1.0,initial_meridional_temperature_gradient,600.0,3.356522362688944,3.006816223205533,3.733463027325948,15,,
initial_vertical_structure_standard_vs_u30,standard,1.0,initial_meridional_temperature_gradient,700.0,5.891275486646919,5.275820718300869,6.553582064346602,15,,
initial_vertical_structure_standard_vs_u30,standard,1.0,initial_meridional_temperature_gradient,850.0,7.975702131564806,7.1224117527890485,8.895169991471144,15,,
initial_vertical_structure_standard_vs_u30,standard,1.0,initial_meridional_temperature_gradient,925.0,8.347471036055746,7.446261358836637,9.316361232170793,15,,
initial_vertical_structure_standard_vs_u30,standard,1.0,initial_meridional_temperature_gradient,975.0,8.413828830574252,7.504969427524581,9.391768515646008,15,,
initial_vertical_structure_standard_vs_u30,standard,1.0,initial_meridional_temperature_gradient,1000.0,8.401354777258044,7.492930753869587,9.378422354681483,15,,
initial_vertical_structure_standard_vs_u30,standard,1.5,initial_meridional_temperature_gradient,10.0,-0.01241735105850239,-0.013631973181382762,-0.011234171847599821,15,,
initial_vertical_structure_standard_vs_u30,standard,1.5,initial_meridional_temperature_gradient,50.0,-1.2068527439623722,-1.3270719445775587,-1.0903421614708957,15,,
initial_vertical_structure_standard_vs_u30,standard,1.5,initial_meridional_temperature_gradient,100.0,-3.3338493570530168,-3.6704732895032066,-3.00832254197303,15,,
initial_vertical_structure_standard_vs_u30,standard,1.5,initial_meridional_temperature_gradient,150.0,-4.25839267942744,-4.693365387614298,-3.838112754313746,15,,
initial_vertical_structure_standard_vs_u30,standard,1.5,initial_meridional_temperature_gradient,200.0,-3.98830852645915,-4.398732049063862,-3.5914511833349634,15,,
initial_vertical_structure_standard_vs_u30,standard,1.5,initial_meridional_temperature_gradient,250.0,-2.931953091926213,-3.2350694436900085,-2.6392956400892826,15,,
initial_vertical_structure_standard_vs_u30,standard,1.5,initial_meridional_temperature_gradient,300.0,-1.4714552662553615,-1.622792964136958,-1.3253677262052102,15,,
initial_vertical_structure_standard_vs_u30,standard,1.5,initial_meridional_temperature_gradient,400.0,1.7019790372311643,1.5257454307023484,1.8836005957230852,15,,
initial_vertical_structure_standard_vs_u30,standard,1.5,initial_meridional_temperature_gradient,500.0,4.432422398773876,3.974658921303368,4.903919566080123,15,,
initial_vertical_structure_standard_vs_u30,standard,1.5,initial_meridional_temperature_gradient,600.0,6.400820439012023,5.734704574630693,7.087958413194427,15,,
initial_vertical_structure_standard_vs_u30,standard,1.5,initial_meridional_temperature_gradient,700.0,7.6219306417139405,6.813768813268932,8.458140817613941,15,,
initial_vertical_structure_standard_vs_u30,standard,1.5,initial_meridional_temperature_gradient,850.0,8.373099444725085,7.454726475468002,9.325481223640962,15,,
initial_vertical_structure_standard_vs_u30,standard,1.5,initial_meridional_temperature_gradient,925.0,8.440050563270537,7.504144257381995,9.410207311096501,15,,
initial_vertical_structure_standard_vs_u30,standard,1.5,initial_meridional_temperature_gradient,975.0,8.42344628229815,7.486337789638735,9.396306619843623,15,,
initial_vertical_structure_standard_vs_u30,standard,1.5,initial_meridional_temperature_gradient,1000.0,8.40235822276251,7.4669738501143,9.373457593634761,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_meridional_temperature_gradient,10.0,-0.45131377911881526,-0.49488460499939413,-0.40952259344824904,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_meridional_temperature_gradient,50.0,-3.5352810906867185,-3.8831533288430364,-3.201694164545188,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_meridional_temperature_gradient,100.0,-4.289298522053286,-4.719614282369851,-3.8794327213054207,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_meridional_temperature_gradient,150.0,-3.2105141751041324,-3.5358059983536805,-2.900959385669921,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_meridional_temperature_gradient,200.0,-1.5210356423267513,-1.6755123865171602,-1.3739736706005108,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_meridional_temperature_gradient,250.0,0.2629487264963852,0.23679395629490804,0.29042286151081953,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_meridional_temperature_gradient,300.0,1.9262742701660802,1.7382724107998608,2.1235654262833723,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_meridional_temperature_gradient,400.0,4.637457474624777,4.18576408037552,5.111242055212036,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_meridional_temperature_gradient,500.0,6.509533826222953,5.873877651841515,7.174774458841662,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_meridional_temperature_gradient,600.0,7.672465835639741,6.918151739228051,8.462494232238289,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_meridional_temperature_gradient,700.0,8.286390160113418,7.457220416805891,9.155171670348254,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_meridional_temperature_gradient,850.0,8.522277009130145,7.637096841032568,9.457273434539577,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_meridional_temperature_gradient,925.0,8.480488183219373,7.588501907775935,9.425835478396039,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_meridional_temperature_gradient,975.0,8.434695397833517,7.5442914233766105,9.378299412977261,15,,
initial_vertical_structure_standard_vs_u30,standard,2.0,initial_meridional_temperature_gradient,1000.0,8.412839967301503,7.524491688855051,9.354128347543641,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_meridional_temperature_gradient,10.0,0.0008570327669765732,0.0007401322676958699,0.0009849486395004565,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_meridional_temperature_gradient,50.0,-0.03775079105613107,-0.04159635725346315,-0.03409989018265947,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_meridional_temperature_gradient,100.0,-0.8803049884894184,-0.9701691609128223,-0.7960221572034245,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_meridional_temperature_gradient,150.0,-3.1699644447750566,-3.4959661832090205,-2.86449062173233,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_meridional_temperature_gradient,200.0,-5.956707263976568,-6.576482341339821,-5.375853627356265,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_meridional_temperature_gradient,250.0,-8.028554384509334,-8.873885969933326,-7.237622417809083,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_meridional_temperature_gradient,300.0,-8.710107188865853,-9.637287947346824,-7.842678319320839,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_meridional_temperature_gradient,400.0,-5.847865516746727,-6.474980563477099,-5.260617683688906,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_meridional_temperature_gradient,500.0,0.4398992283919749,0.38270185077256735,0.5027034788440687,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_meridional_temperature_gradient,600.0,7.145532526919851,6.395335109724934,7.952571555354855,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_meridional_temperature_gradient,700.0,12.476011397666298,11.173358743690187,13.875146729939539,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_meridional_temperature_gradient,850.0,16.821032052879065,15.066683231452771,18.702514927705728,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_meridional_temperature_gradient,925.0,17.548362848174293,15.72268498421181,19.497945287791175,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_meridional_temperature_gradient,975.0,17.63022398032869,15.804206351882993,19.580526241043117,15,,
initial_vertical_structure_standard_vs_u30,u30,1.0,initial_meridional_temperature_gradient,1000.0,17.578912108244065,15.76143635096135,19.520519152441317,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_meridional_temperature_gradient,10.0,-0.01660019049628166,-0.0182729477815613,-0.015068605626981464,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_meridional_temperature_gradient,50.0,-1.6120919402358898,-1.776105209501111,-1.4615670750117717,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_meridional_temperature_gradient,100.0,-4.475484456634149,-4.939280139145316,-4.0521518656078115,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_meridional_temperature_gradient,150.0,-5.744566988141742,-6.3471057933384145,-5.194444938751985,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_meridional_temperature_gradient,200.0,-5.3994599966245005,-5.970781352668079,-4.876783701774912,15,,
